SENSOR_SN,HW_VERSION,SW_VERSION,Build_Date,Build_Time,TIME_SEND_LOCK_IN_DATA,TIME_SEND_ADDITIONAL_DATA,TIME_SEND_RAW_DATA,TIME_SEND_META_DATA,AVERAGES_LOCK_IN,PRESET0_FREQ,G0_F0,G1_F0,G2_F0,G3_F0,P0_F0,P1_F0,P2_F0,P3_F0,PRESET1_FREQ,G0_F1,G1_F1,G2_F1,G3_F1,P0_F1,P1_F1,P2_F1,P3_F1,PRESET2_FREQ,G0_F2,G1_F2,G2_F2,G3_F2,P0_F2,P1_F2,P2_F2,P3_F2
2000,v2.0.0,,0,0,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2001,v2.0.0,v2.0.6,2024-07-26,18:52:38,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2002,v2.0.0,v2.0.6,2024-09-26,00:09:11,10,2500,0,300000,2,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2003,v2.0.0,v2.0.6,2024-07-26,18:44:32,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2004,v2.1.0,v2.1.3,2025-03-25,16:10:09,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2005,v2.1.0,v2.1.3,2025-03-25,16:54:56,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2006,v2.1.0,v2.1.3,2025-03-25,15:57:24,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2007,v2.1.0,v2.1.3,2025-03-25,16:31:55,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2008,v2.1.0,v2.0.5,2024-07-05,11:17:39,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2009,v2.1.0,v2.1.3,2025-03-25,16:45:41,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2010,v2.1.0,v2.0.6,2024-07-24,22:23:24,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2011,v2.1.0,v2.0.6,2024-07-24,22:21:23,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2012,v2.1.0,v2.0.6,2024-07-24,22:16:07,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2013,v2.1.0,v2.0.4,2024-06-28,20:41:45,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2014,v2.1.0,v2.1.3,2025-03-30,17:21:15,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2015,v2.1.0,v2.0.8,2024-07-25,00:29:10,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2016,v2.2.0,v2.0.8,2024-09-26,00:44:44,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2017,v2.2.0,v2.0.8,2024-09-26,00:47:39,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2018,v2.2.0,v2.1.3,2025-03-25,12:30:35,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2019,v2.2.0,v2.1.3,2025-03-25,11:10:33,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2020,v2.2.0,,,,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2021,v2.2.0,,,,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2022,v2.2.0,,,,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2023,v2.2.0,,,,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2024,v2.2.0,,,,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2025,v2.2.0,,,,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2026,v2.2.0,,,,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
2027,v2.2.0,,,,20,2500,0,300000,1,80.0E+03,0,0,1024,0,0,0,0,0,120.0E+03,0,0,1024,0,0,0,0,0,200.0E+03,0,0,1024,0,0,0,0,0
